Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Price Change (%),Fee Checker,Exit Type
2023-02-10 06:31:00,21819.3,2023-02-15 20:32:00,23979.0,10000.0,10826.19,74.44,81.81,826.19,8.26,9.9,True,Fee-Aware Signal Exit
2023-02-16 23:53:00,23493.6,2023-02-17 03:30:00,23846.1,10826.19,10825.03,80.59,81.8,-1.17,-0.01,1.5,True,Fee-Aware Signal Exit
2023-03-08 09:22:00,21958.0,2023-03-09 18:33:00,20964.2,10825.03,10181.22,80.58,76.94,-643.8,-5.95,-4.53,False,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,10181.22,9598.06,75.79,72.53,-583.16,-5.73,-4.3,False,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-17 19:05:00,26727.2,9598.06,12528.26,71.45,94.67,2930.2,30.53,32.5,True,Fee-Aware Signal Exit
2023-03-18 14:43:00,27489.6,2023-03-19 16:41:00,27930.6,12528.26,12539.73,93.26,94.76,11.47,0.09,1.6,True,Fee-Aware Signal Exit
2023-03-24 20:42:00,27535.1,2023-03-26 12:02:00,27951.5,12539.73,12539.84,93.35,94.76,0.11,0.0,1.51,True,Fee-Aware Signal Exit
2023-03-27 14:17:00,27516.0,2023-03-29 06:28:00,27945.4,12539.84,12545.92,93.35,94.81,6.08,0.05,1.56,True,Fee-Aware Signal Exit
2023-03-30 17:36:00,27732.8,2023-03-31 00:50:00,28159.1,12545.92,12549.11,93.39,94.83,3.19,0.03,1.54,True,Fee-Aware Signal Exit
2023-04-05 16:06:00,27957.9,2023-04-10 22:03:00,29641.6,12549.11,13106.77,93.42,99.04,557.65,4.44,6.02,True,Fee-Aware Signal Exit
2023-04-21 02:45:00,28189.6,2023-04-26 08:26:00,28657.2,13106.77,13125.8,97.57,99.19,19.04,0.15,1.66,True,Fee-Aware Signal Exit
2023-05-01 01:52:00,28472.9,2023-05-03 21:21:00,28939.4,13125.8,13142.23,97.71,99.31,16.43,0.13,1.64,True,Fee-Aware Signal Exit
2023-05-12 15:27:00,26295.6,2023-05-12 21:12:00,26704.5,13142.23,13147.89,97.83,99.35,5.65,0.04,1.56,True,Fee-Aware Signal Exit
2023-05-22 04:29:00,26656.9,2023-05-23 02:58:00,27099.6,13147.89,13167.24,97.88,99.5,19.35,0.15,1.66,True,Fee-Aware Signal Exit
2023-05-24 01:21:00,27144.7,2023-05-25 01:26:00,25909.7,13167.24,12381.05,98.02,93.56,-786.19,-5.97,-4.55,False,Stop-Loss
2023-05-25 01:27:00,25866.5,2023-05-25 11:56:00,26270.5,12381.05,12387.21,92.17,93.61,6.16,0.05,1.56,True,Fee-Aware Signal Exit
2023-05-25 15:29:00,26231.2,2023-05-26 14:19:00,26630.7,12387.21,12388.63,92.21,93.62,1.42,0.01,1.52,True,Fee-Aware Signal Exit
2023-06-12 03:47:00,25764.5,2023-06-13 08:45:00,26188.0,12388.63,12404.79,92.22,93.74,16.16,0.13,1.64,True,Fee-Aware Signal Exit
2023-06-13 15:23:00,25783.8,2023-06-21 13:49:00,29254.2,12404.79,13864.88,92.34,104.77,1460.09,11.77,13.46,True,Fee-Aware Signal Exit
2023-06-21 14:02:00,29149.6,2023-06-21 15:15:00,29588.5,13864.88,13864.11,103.21,104.77,-0.77,-0.01,1.51,True,Fee-Aware Signal Exit
2023-06-22 14:41:00,29682.5,2023-06-22 16:31:00,30136.3,13864.11,13866.5,103.21,104.78,2.39,0.02,1.53,True,Fee-Aware Signal Exit
2023-06-28 07:33:00,30253.8,2023-06-29 10:55:00,30713.3,13866.5,13867.53,103.22,104.79,1.02,0.01,1.52,True,Fee-Aware Signal Exit
2023-06-30 13:47:00,29555.9,2023-06-30 13:59:00,30104.2,13867.53,13914.49,103.23,105.15,46.97,0.34,1.86,True,Fee-Aware Signal Exit
2023-06-30 14:00:00,30116.0,2023-06-30 17:19:00,30594.6,13914.49,13925.16,103.58,105.23,10.67,0.08,1.59,True,Fee-Aware Signal Exit
2023-07-08 18:02:00,30176.0,2023-07-10 19:46:00,30643.7,13925.16,13930.45,103.66,105.27,5.29,0.04,1.55,True,Fee-Aware Signal Exit
2023-08-04 12:08:00,29115.2,2023-08-08 12:58:00,29553.2,13930.45,13929.5,103.7,105.26,-0.96,-0.01,1.5,True,Fee-Aware Signal Exit
2023-08-22 23:41:00,25990.7,2023-08-23 19:41:00,26700.5,13929.5,14096.86,103.69,106.53,167.36,1.2,2.73,True,Fee-Aware Signal Exit
2023-08-23 19:58:00,26609.7,2023-08-29 14:26:00,27070.3,14096.86,14127.36,104.94,106.76,30.5,0.22,1.73,True,Fee-Aware Signal Exit
2023-09-09 12:20:00,25786.2,2023-09-12 10:22:00,26192.3,14127.36,14136.2,105.17,106.82,8.84,0.06,1.57,True,Fee-Aware Signal Exit
2023-09-13 05:20:00,25839.4,2023-09-13 15:32:00,26265.4,14136.2,14155.32,105.23,106.97,19.12,0.14,1.65,True,Fee-Aware Signal Exit
2023-09-13 15:33:00,26263.5,2023-09-14 13:30:00,26671.3,14155.32,14161.09,105.37,107.01,5.77,0.04,1.55,True,Fee-Aware Signal Exit
2023-09-15 00:58:00,26457.7,2023-09-18 09:55:00,26868.6,14161.09,14166.91,105.42,107.05,5.82,0.04,1.55,True,Fee-Aware Signal Exit
2023-09-25 00:39:00,26042.3,2023-09-28 14:00:00,26570.5,14166.91,14239.05,105.46,107.6,72.14,0.51,2.03,True,Fee-Aware Signal Exit
2023-09-28 14:02:00,26505.0,2023-09-28 15:42:00,26904.7,14239.05,14238.59,106.0,107.6,-0.47,-0.0,1.51,True,Fee-Aware Signal Exit
2023-09-29 18:01:00,26768.8,2023-10-01 09:26:00,27178.0,14238.59,14241.01,105.99,107.61,2.43,0.02,1.53,True,Fee-Aware Signal Exit
2023-10-01 15:19:00,27085.7,2023-10-01 22:17:00,27975.1,14241.01,14489.65,106.01,109.49,248.64,1.75,3.28,True,Fee-Aware Signal Exit
2023-10-11 05:00:00,27079.5,2023-10-16 13:29:00,29311.1,14489.65,15450.23,107.86,116.75,960.58,6.63,8.24,True,Fee-Aware Signal Exit
2023-10-16 13:35:00,28679.1,2023-10-23 22:41:00,33371.2,15450.23,17710.33,115.01,133.83,2260.1,14.63,16.36,True,Fee-Aware Signal Exit
2023-10-23 23:10:00,32857.4,2023-10-24 00:31:00,33383.5,17710.33,17726.0,131.84,133.95,15.67,0.09,1.6,True,Fee-Aware Signal Exit
2023-10-24 18:20:00,33508.1,2023-10-24 21:54:00,34036.7,17726.0,17737.56,131.96,134.04,11.56,0.07,1.58,True,Fee-Aware Signal Exit
2023-10-27 17:07:00,33495.4,2023-10-28 10:42:00,34045.6,17737.56,17760.5,132.04,134.21,22.94,0.13,1.64,True,Fee-Aware Signal Exit
2023-11-03 10:15:00,34116.1,2023-11-03 14:25:00,34647.8,17760.5,17768.75,132.21,134.27,8.25,0.05,1.56,True,Fee-Aware Signal Exit
2023-11-03 16:33:00,34650.3,2023-11-08 19:17:00,35701.7,17768.75,18035.34,132.27,136.29,266.59,1.5,3.03,True,Fee-Aware Signal Exit
2023-11-08 19:18:00,35644.7,2023-11-09 02:24:00,36255.3,18035.34,18071.17,134.26,136.56,35.83,0.2,1.71,True,Fee-Aware Signal Exit
2023-11-14 15:34:00,35946.1,2023-11-15 18:06:00,36497.1,18071.17,18075.0,134.52,136.59,3.83,0.02,1.53,True,Fee-Aware Signal Exit
2023-11-17 14:41:00,36153.9,2023-11-18 16:11:00,36719.7,18075.0,18084.55,134.55,136.66,9.55,0.05,1.56,True,Fee-Aware Signal Exit
2023-11-19 08:45:00,36615.2,2023-11-19 23:02:00,37174.1,18084.55,18087.24,134.62,136.68,2.69,0.01,1.53,True,Fee-Aware Signal Exit
2023-11-21 23:57:00,35776.2,2023-11-22 03:26:00,36321.7,18087.24,18089.63,134.64,136.7,2.39,0.01,1.52,True,Fee-Aware Signal Exit
2023-11-26 12:24:00,37580.2,2023-12-05 15:24:00,42236.2,18089.63,20028.16,134.66,151.35,1938.52,10.72,12.39,True,Fee-Aware Signal Exit
2023-12-05 15:25:00,42209.7,2023-12-05 17:04:00,42863.0,20028.16,20035.34,149.09,151.4,7.18,0.04,1.55,True,Fee-Aware Signal Exit
2023-12-11 18:07:00,41095.6,2023-12-12 00:56:00,41712.2,20035.34,20033.18,149.15,151.38,-2.16,-0.01,1.5,True,Fee-Aware Signal Exit
2023-12-12 17:34:00,40759.9,2023-12-12 23:18:00,41371.8,20033.18,20031.19,149.13,151.37,-1.99,-0.01,1.5,True,Fee-Aware Signal Exit
2023-12-15 12:04:00,42684.1,2023-12-18 02:35:00,40840.0,20031.19,18880.43,149.12,142.67,-1150.76,-5.74,-4.32,False,Stop-Loss
2023-12-18 02:36:00,40773.3,2023-12-18 21:46:00,42566.2,18880.43,19417.18,140.55,146.73,536.76,2.84,4.4,True,Fee-Aware Signal Exit
