Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Price Change (%),Fee Checker,Exit Type
2023-02-10 06:31:00,21819.3,2023-02-15 20:32:00,23979.0,10000.0,10826.19,74.44,81.81,826.19,8.26,9.9,True,Fee-Aware Signal Exit
2023-02-16 23:53:00,23493.6,2023-02-17 03:30:00,23846.1,10826.19,10825.03,80.59,81.8,-1.17,-0.01,1.5,True,Fee-Aware Signal Exit
2023-03-08 09:21:00,21958.0,2023-03-09 18:33:00,20964.2,10825.03,10181.22,80.58,76.94,-643.8,-5.95,-4.53,False,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,10181.22,9598.06,75.79,72.53,-583.16,-5.73,-4.3,False,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-17 19:05:00,26727.2,9598.06,12528.26,71.45,94.67,2930.2,30.53,32.5,True,Fee-Aware Signal Exit
2023-03-18 14:43:00,27489.6,2023-03-19 16:41:00,27930.6,12528.26,12539.73,93.26,94.76,11.47,0.09,1.6,True,Fee-Aware Signal Exit
2023-03-24 20:42:00,27535.1,2023-03-26 12:02:00,27951.5,12539.73,12539.84,93.35,94.76,0.11,0.0,1.51,True,Fee-Aware Signal Exit
2023-03-27 14:17:00,27516.0,2023-03-29 06:28:00,27945.4,12539.84,12545.92,93.35,94.81,6.08,0.05,1.56,True,Fee-Aware Signal Exit
2023-03-30 17:36:00,27732.8,2023-03-31 00:50:00,28159.1,12545.92,12549.11,93.39,94.83,3.19,0.03,1.54,True,Fee-Aware Signal Exit
2023-04-05 16:00:00,27966.1,2023-04-10 22:03:00,29641.6,12549.11,13102.92,93.42,99.01,553.81,4.41,5.99,True,Fee-Aware Signal Exit
2023-04-21 02:45:00,28189.6,2023-04-26 08:26:00,28657.2,13102.92,13121.95,97.54,99.16,19.03,0.15,1.66,True,Fee-Aware Signal Exit
2023-05-01 01:51:00,28454.4,2023-05-03 21:21:00,28939.4,13121.95,13146.92,97.68,99.35,24.97,0.19,1.7,True,Fee-Aware Signal Exit
2023-05-12 15:27:00,26295.6,2023-05-12 21:12:00,26704.5,13146.92,13152.58,97.87,99.39,5.66,0.04,1.56,True,Fee-Aware Signal Exit
2023-05-22 04:28:00,26650.4,2023-05-23 02:58:00,27099.6,13152.58,13175.15,97.91,99.56,22.57,0.17,1.69,True,Fee-Aware Signal Exit
2023-05-24 01:10:00,27133.3,2023-05-25 01:26:00,25909.7,13175.15,12393.69,98.08,93.66,-781.46,-5.93,-4.51,False,Stop-Loss
2023-05-25 01:27:00,25866.5,2023-05-25 11:56:00,26270.5,12393.69,12399.86,92.26,93.7,6.17,0.05,1.56,True,Fee-Aware Signal Exit
2023-05-25 15:29:00,26231.2,2023-05-26 14:19:00,26630.7,12399.86,12401.28,92.31,93.71,1.42,0.01,1.52,True,Fee-Aware Signal Exit
2023-06-12 03:44:00,25787.0,2023-06-13 08:45:00,26188.0,12401.28,12406.62,92.32,93.75,5.34,0.04,1.56,True,Fee-Aware Signal Exit
2023-06-13 15:23:00,25783.8,2023-06-21 13:49:00,29254.2,12406.62,13866.93,92.36,104.79,1460.31,11.77,13.46,True,Fee-Aware Signal Exit
2023-06-21 14:02:00,29149.6,2023-06-21 15:15:00,29588.5,13866.93,13866.16,103.23,104.78,-0.77,-0.01,1.51,True,Fee-Aware Signal Exit
2023-06-22 14:41:00,29682.5,2023-06-22 16:31:00,30136.3,13866.16,13868.55,103.22,104.8,2.39,0.02,1.53,True,Fee-Aware Signal Exit
2023-06-28 07:33:00,30253.8,2023-06-29 10:55:00,30713.3,13868.55,13869.57,103.24,104.81,1.02,0.01,1.52,True,Fee-Aware Signal Exit
2023-06-30 13:47:00,29555.9,2023-06-30 13:59:00,30104.2,13869.57,13916.55,103.25,105.16,46.97,0.34,1.86,True,Fee-Aware Signal Exit
2023-06-30 14:00:00,30116.0,2023-06-30 17:19:00,30594.6,13916.55,13927.22,103.6,105.24,10.67,0.08,1.59,True,Fee-Aware Signal Exit
2023-07-08 18:01:00,30181.4,2023-07-10 19:46:00,30643.7,13927.22,13930.02,103.68,105.26,2.8,0.02,1.53,True,Fee-Aware Signal Exit
2023-08-04 12:08:00,29115.2,2023-08-08 12:58:00,29553.2,13930.02,13929.06,103.7,105.26,-0.96,-0.01,1.5,True,Fee-Aware Signal Exit
2023-08-22 23:41:00,25990.7,2023-08-23 19:41:00,26700.5,13929.06,14096.42,103.69,106.52,167.36,1.2,2.73,True,Fee-Aware Signal Exit
2023-08-23 19:58:00,26609.7,2023-08-29 14:26:00,27070.3,14096.42,14126.92,104.94,106.75,30.5,0.22,1.73,True,Fee-Aware Signal Exit
2023-09-09 12:20:00,25786.2,2023-09-12 10:22:00,26192.3,14126.92,14135.76,105.16,106.82,8.84,0.06,1.57,True,Fee-Aware Signal Exit
2023-09-13 05:20:00,25839.4,2023-09-13 15:46:00,26323.2,14135.76,14186.03,105.23,107.2,50.27,0.36,1.87,True,Fee-Aware Signal Exit
2023-09-13 15:48:00,26249.4,2023-09-14 13:30:00,26671.3,14186.03,14199.44,105.6,107.3,13.41,0.09,1.61,True,Fee-Aware Signal Exit
2023-09-15 00:58:00,26457.7,2023-09-18 09:55:00,26868.6,14199.44,14205.27,105.7,107.34,5.83,0.04,1.55,True,Fee-Aware Signal Exit
2023-09-25 04:41:00,26091.4,2023-09-28 14:00:00,26570.5,14205.27,14250.74,105.75,107.69,45.47,0.32,1.84,True,Fee-Aware Signal Exit
2023-09-28 14:02:00,26505.0,2023-09-28 15:42:00,26904.7,14250.74,14250.27,106.08,107.68,-0.47,-0.0,1.51,True,Fee-Aware Signal Exit
2023-09-29 18:01:00,26768.8,2023-10-01 09:26:00,27178.0,14250.27,14252.7,106.08,107.7,2.43,0.02,1.53,True,Fee-Aware Signal Exit
2023-10-01 15:19:00,27085.7,2023-10-01 22:17:00,27975.1,14252.7,14501.54,106.1,109.58,248.84,1.75,3.28,True,Fee-Aware Signal Exit
2023-10-11 04:49:00,27076.6,2023-10-16 13:29:00,29311.1,14501.54,15464.56,107.95,116.86,963.02,6.64,8.25,True,Fee-Aware Signal Exit
2023-10-16 13:35:00,28679.1,2023-10-23 22:41:00,33371.2,15464.56,17726.76,115.12,133.96,2262.2,14.63,16.36,True,Fee-Aware Signal Exit
2023-10-23 23:10:00,32857.4,2023-10-24 00:31:00,33383.5,17726.76,17742.45,131.96,134.07,15.69,0.09,1.6,True,Fee-Aware Signal Exit
2023-10-24 18:09:00,33577.6,2023-10-24 21:56:00,34111.6,17742.45,17756.26,132.08,134.18,13.81,0.08,1.59,True,Fee-Aware Signal Exit
2023-10-27 17:07:00,33495.4,2023-10-28 10:44:00,34040.1,17756.26,17776.35,132.18,134.33,20.09,0.11,1.63,True,Fee-Aware Signal Exit
2023-11-03 10:15:00,34116.1,2023-11-03 14:25:00,34647.8,17776.35,17784.61,132.33,134.39,8.26,0.05,1.56,True,Fee-Aware Signal Exit
2023-11-03 16:33:00,34650.3,2023-11-08 19:17:00,35701.7,17784.61,18051.43,132.39,136.41,266.82,1.5,3.03,True,Fee-Aware Signal Exit
2023-11-08 19:18:00,35644.7,2023-11-09 02:24:00,36255.3,18051.43,18087.3,134.38,136.68,35.87,0.2,1.71,True,Fee-Aware Signal Exit
2023-11-14 15:34:00,35946.1,2023-11-15 18:06:00,36497.1,18087.3,18091.13,134.64,136.71,3.83,0.02,1.53,True,Fee-Aware Signal Exit
2023-11-17 14:40:00,36178.1,2023-11-18 16:12:00,36805.8,18091.13,18131.0,134.67,137.01,39.87,0.22,1.74,True,Fee-Aware Signal Exit
2023-11-19 08:45:00,36615.2,2023-11-19 23:02:00,37174.1,18131.0,18133.69,134.97,137.03,2.69,0.01,1.53,True,Fee-Aware Signal Exit
2023-11-21 23:57:00,35776.2,2023-11-22 03:26:00,36321.7,18133.69,18136.09,134.99,137.05,2.4,0.01,1.52,True,Fee-Aware Signal Exit
2023-11-26 12:24:00,37580.2,2023-12-05 15:24:00,42236.2,18136.09,20079.59,135.01,151.73,1943.5,10.72,12.39,True,Fee-Aware Signal Exit
2023-12-05 15:25:00,42209.7,2023-12-05 17:04:00,42863.0,20079.59,20086.8,149.48,151.79,7.2,0.04,1.55,True,Fee-Aware Signal Exit
2023-12-11 18:07:00,41095.6,2023-12-12 00:56:00,41712.2,20086.8,20084.63,149.53,151.77,-2.16,-0.01,1.5,True,Fee-Aware Signal Exit
2023-12-12 17:34:00,40759.9,2023-12-12 23:18:00,41371.8,20084.63,20082.63,149.51,151.76,-2.0,-0.01,1.5,True,Fee-Aware Signal Exit
2023-12-15 11:51:00,42737.6,2023-12-18 01:39:00,40893.1,20082.63,18929.8,149.5,143.05,-1152.83,-5.74,-4.32,False,Stop-Loss
2023-12-18 01:40:00,40877.6,2023-12-18 21:46:00,42566.2,18929.8,19418.29,140.92,146.74,488.49,2.58,4.13,True,Fee-Aware Signal Exit
