Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Price Change (%),Fee Checker,Exit Type
2023-02-10 06:35:00,21839.8,2023-02-15 20:32:00,23979.0,10000.0,10816.03,74.44,81.73,816.03,8.16,9.79,True,Fee-Aware Signal Exit
2023-02-15 21:12:00,24008.0,2023-02-16 00:09:00,24376.1,10816.03,10818.36,80.52,81.75,2.33,0.02,1.53,True,Fee-Aware Signal Exit
2023-02-16 23:55:00,23549.6,2023-02-17 14:33:00,23944.3,10818.36,10835.92,80.53,81.88,17.55,0.16,1.68,True,Fee-Aware Signal Exit
2023-03-08 09:21:00,21958.0,2023-03-09 18:33:00,20964.2,10835.92,10191.46,80.66,77.01,-644.45,-5.95,-4.53,False,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,10191.46,9607.72,75.87,72.6,-583.75,-5.73,-4.3,False,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-14 13:02:00,26384.7,9607.72,12380.16,71.52,93.55,2772.44,28.86,30.8,True,Fee-Aware Signal Exit
2023-03-14 13:06:00,26302.5,2023-03-14 18:50:00,25134.4,12380.16,11654.22,92.16,88.07,-725.94,-5.86,-4.44,False,Stop-Loss
2023-03-14 18:51:00,24973.1,2023-03-17 19:04:00,26651.4,11654.22,12252.26,86.76,92.59,598.04,5.13,6.72,True,Fee-Aware Signal Exit
2023-03-18 14:44:00,27483.8,2023-03-19 16:37:00,27898.5,12252.26,12251.96,91.21,92.58,-0.3,-0.0,1.51,True,Fee-Aware Signal Exit
2023-03-24 17:51:00,27513.0,2023-03-26 12:01:00,27927.4,12251.96,12251.34,91.21,92.58,-0.62,-0.01,1.51,True,Fee-Aware Signal Exit
2023-03-27 14:17:00,27516.0,2023-03-29 06:28:00,27945.4,12251.34,12257.28,91.2,92.62,5.94,0.05,1.56,True,Fee-Aware Signal Exit
2023-03-30 17:36:00,27732.8,2023-03-31 00:50:00,28159.1,12257.28,12260.4,91.25,92.65,3.12,0.03,1.54,True,Fee-Aware Signal Exit
2023-04-05 15:59:00,27996.1,2023-04-10 22:02:00,29458.1,12260.4,12708.59,91.27,96.03,448.19,3.66,5.22,True,Fee-Aware Signal Exit
2023-04-21 02:46:00,28176.7,2023-04-26 08:26:00,28657.2,12708.59,12732.87,94.6,96.22,24.28,0.19,1.71,True,Fee-Aware Signal Exit
2023-05-01 01:51:00,28454.4,2023-05-03 21:21:00,28939.4,12732.87,12757.1,94.79,96.4,24.23,0.19,1.7,True,Fee-Aware Signal Exit
2023-05-12 15:28:00,26278.0,2023-05-12 21:11:00,26676.4,12757.1,12757.7,94.97,96.41,0.6,0.0,1.52,True,Fee-Aware Signal Exit
2023-05-22 04:28:00,26650.4,2023-05-23 02:57:00,27070.6,12757.7,12765.92,94.97,96.47,8.22,0.06,1.58,True,Fee-Aware Signal Exit
