Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Exit Type
2023-10-01 15:16:00,27096.3,2023-10-01 15:31:00,27093.6,102.55,101.02,0.76,0.76,-1.54,-1.5,Signal Exit
2023-10-01 15:33:00,27095.2,2023-10-01 15:34:00,27098.2,101.02,99.52,0.75,0.75,-1.49,-1.48,Signal Exit
2023-10-01 15:36:00,27094.9,2023-10-01 15:53:00,27109.7,99.52,98.09,0.74,0.74,-1.43,-1.44,Signal Exit
2023-10-01 16:24:00,27095.3,2023-10-01 16:25:00,27092.2,98.09,96.62,0.73,0.73,-1.47,-1.5,Signal Exit
2023-10-01 17:10:00,27098.4,2023-10-01 18:25:00,27058.3,96.62,95.04,0.72,0.72,-1.58,-1.63,Signal Exit
2023-10-01 18:31:00,27036.3,2023-10-01 18:35:00,27059.1,95.04,93.71,0.71,0.71,-1.34,-1.41,Signal Exit
2023-10-01 18:36:00,27059.3,2023-10-01 18:43:00,27056.9,93.71,92.3,0.7,0.7,-1.4,-1.5,Signal Exit
2023-10-01 18:45:00,27054.0,2023-10-01 22:09:00,27149.5,92.3,91.25,0.69,0.69,-1.05,-1.14,Signal Exit
2023-10-11 04:31:00,27080.5,2023-10-11 04:32:00,27079.7,91.25,89.89,0.68,0.68,-1.36,-1.49,Signal Exit
2023-10-11 04:51:00,27078.6,2023-10-11 04:56:00,27083.1,89.89,88.57,0.67,0.67,-1.32,-1.47,Signal Exit
2023-10-11 05:02:00,27079.1,2023-10-11 05:08:00,27050.5,88.57,87.16,0.66,0.66,-1.41,-1.59,Signal Exit
2023-10-11 06:23:00,27056.0,2023-10-11 06:34:00,27053.2,87.16,85.85,0.65,0.65,-1.31,-1.5,Signal Exit
2023-10-11 06:53:00,27037.0,2023-10-11 07:01:00,27044.4,85.85,84.59,0.64,0.64,-1.25,-1.46,Signal Exit
2023-10-11 12:18:00,27187.7,2023-10-11 12:57:00,27117.1,84.59,83.12,0.63,0.63,-1.48,-1.74,Signal Exit
2023-10-11 13:00:00,27135.6,2023-10-11 13:01:00,27142.2,83.12,81.9,0.62,0.62,-1.22,-1.46,Signal Exit
2023-10-11 13:02:00,27127.5,2023-10-11 13:05:00,27143.3,81.9,80.73,0.61,0.61,-1.17,-1.43,Signal Exit
2023-10-11 13:06:00,27129.3,2023-10-16 13:28:00,28859.1,80.73,84.6,0.6,0.64,3.87,4.79,Signal Exit
2023-10-16 13:35:00,28679.1,2023-10-16 13:36:00,28907.7,84.6,84.0,0.63,0.63,-0.6,-0.7,Signal Exit
2023-10-16 13:39:00,28826.2,2023-10-23 22:41:00,33371.2,84.0,95.8,0.63,0.72,11.8,14.04,Signal Exit
2023-10-23 23:10:00,32857.4,2023-10-23 23:16:00,33069.0,95.8,94.98,0.71,0.72,-0.82,-0.85,Signal Exit
2023-10-23 23:17:00,33004.3,2023-10-23 23:18:00,33067.1,94.98,93.74,0.71,0.71,-1.24,-1.3,Signal Exit
2023-10-23 23:21:00,33000.9,2023-10-23 23:22:00,33057.8,93.74,92.51,0.7,0.7,-1.24,-1.32,Signal Exit
2023-10-23 23:25:00,33047.1,2023-10-23 23:29:00,33045.6,92.51,91.13,0.69,0.69,-1.38,-1.49,Signal Exit
2023-10-23 23:30:00,33013.1,2023-10-23 23:31:00,33042.9,91.13,89.85,0.68,0.68,-1.28,-1.4,Signal Exit
2023-10-23 23:32:00,32976.7,2023-10-24 00:00:00,33060.7,89.85,88.74,0.67,0.67,-1.11,-1.24,Signal Exit
2023-10-24 00:01:00,33054.0,2023-10-24 00:03:00,33081.6,88.74,87.49,0.66,0.66,-1.25,-1.41,Signal Exit
2023-10-24 00:04:00,33003.7,2023-10-24 00:20:00,33055.1,87.49,86.32,0.65,0.65,-1.17,-1.34,Signal Exit
2023-10-24 15:39:00,33262.7,2023-10-24 15:40:00,33423.3,86.32,85.45,0.64,0.65,-0.87,-1.01,Signal Exit
2023-10-24 15:41:00,33343.7,2023-10-24 15:42:00,33511.2,85.45,84.6,0.64,0.64,-0.85,-0.99,Signal Exit
2023-10-24 18:06:00,33628.0,2023-10-24 18:07:00,33645.9,84.6,83.38,0.63,0.63,-1.22,-1.44,Signal Exit
2023-10-24 18:08:00,33602.7,2023-10-24 18:11:00,33627.2,83.38,82.2,0.62,0.62,-1.18,-1.42,Signal Exit
2023-10-24 18:13:00,33625.2,2023-10-24 18:14:00,33649.1,82.2,81.03,0.61,0.61,-1.17,-1.42,Signal Exit
2023-10-24 18:17:00,33563.5,2023-10-24 18:31:00,33558.1,81.03,79.81,0.6,0.6,-1.22,-1.5,Signal Exit
