,Unnamed: 0,Timestamp,Open,High,Low,Close,Volume,Avg_price
1675787,1675787,2023-07-01 00:00:00,30407.1,30418.2,30407.1,30416.9,2.70000008413263e-05,30412.65
1675788,1675788,2023-07-01 00:01:00,30416.9,30416.9,30392.3,30393.2,1.60000001869776e-05,30404.6
1675789,1675789,2023-07-01 00:02:00,30393.5,30417.3,30393.5,30402.2,7.40000022005916e-05,30405.4
1675790,1675790,2023-07-01 00:03:00,30404.1,30420.8,30404.1,30413.4,5.55000015651785e-05,30412.449999999997
1675791,1675791,2023-07-01 00:04:00,30413.6,30427.2,30413.4,30422.8,3.85000011533521e-05,30420.300000000003
1675792,1675792,2023-07-01 00:05:00,30422.8,30422.8,30412.9,30414.9,8.00000009348878e-06,30417.85
1675793,1675793,2023-07-01 00:06:00,30414.9,30434.6,30414.9,30434.6,5.95000020098269e-05,30424.75
1675794,1675794,2023-07-01 00:07:00,30434.7,30441.9,30434.7,30441.9,1.60000005280381e-05,30438.300000000003
1675795,1675795,2023-07-01 00:08:00,30441.9,30441.9,30417.4,30417.4,1.14999999709653e-05,30429.65
1675796,1675796,2023-07-01 00:09:00,30417.6,30436.7,30417.6,30436.7,3.85000012670389e-05,30427.15
1675797,1675797,2023-07-01 00:10:00,30436.7,30438.4,30431.6,30438.4,1.90000005204638e-05,30435.0
1675798,1675798,2023-07-01 00:11:00,30439.7,30449.8,30436.4,30436.4,3.70000011571392e-05,30443.1
1675799,1675799,2023-07-01 00:12:00,30436.8,30450.3,30424.8,30424.8,5.4000001341592e-05,30437.55
1675800,1675800,2023-07-01 00:13:00,30424.8,30424.8,30373.9,30379.0,4.60000007933559e-05,30399.35
1675801,1675801,2023-07-01 00:14:00,30379.0,30379.4,30361.4,30379.4,8.00000024128167e-05,30370.4
1675802,1675802,2023-07-01 00:15:00,30382.5,30411.3,30380.2,30411.3,7.35000023155408e-05,30395.75
1675803,1675803,2023-07-01 00:16:00,30412.1,30419.0,30405.7,30409.1,4.65000012468408e-05,30412.35
1675804,1675804,2023-07-01 00:17:00,30410.8,30413.8,30392.4,30401.5,7.85000019618565e-05,30403.1
1675805,1675805,2023-07-01 00:18:00,30402.6,30407.5,30393.2,30398.6,3.750000104219e-05,30400.35
1675806,1675806,2023-07-01 00:19:00,30399.0,30419.0,30399.0,30415.0,4.85000015828518e-05,30409.0
1675807,1675807,2023-07-01 00:20:00,30415.1,30418.1,30412.0,30412.0,1.30000003082387e-05,30415.05
1675808,1675808,2023-07-01 00:21:00,30412.0,30412.1,30397.4,30412.1,3.20000008287025e-05,30404.75
1675809,1675809,2023-07-01 00:22:00,30412.1,30422.0,30407.5,30419.0,3.80000011546144e-05,30414.75
1675810,1675810,2023-07-01 00:23:00,30421.4,30428.8,30420.9,30422.0,2.10000005154143e-05,30424.85
1675811,1675811,2023-07-01 00:24:00,30422.2,30428.8,30422.0,30425.5,1.80000005229886e-05,30425.4
1675812,1675812,2023-07-01 00:25:00,30425.5,30425.5,30417.4,30417.4,1.25000001958142e-05,30421.45
1675813,1675813,2023-07-01 00:26:00,30410.1,30429.3,30410.1,30429.3,4.90000014679026e-05,30419.699999999997
1675814,1675814,2023-07-01 00:27:00,30431.2,30441.5,30431.2,30441.5,2.50000008463758e-05,30436.35
1675815,1675815,2023-07-01 00:28:00,30443.5,30456.6,30443.5,30456.6,3.80000009272408e-05,30450.05
1675816,1675816,2023-07-01 00:29:00,30458.9,30467.4,30448.5,30448.5,2.60000006164773e-05,30457.95
1675817,1675817,2023-07-01 00:30:00,30448.5,30462.0,30443.0,30462.0,5.30000014578036e-05,30452.5
1675818,1675818,2023-07-01 00:31:00,30462.6,30466.5,30458.6,30463.8,2.80000007251147e-05,30462.55
1675819,1675819,2023-07-01 00:32:00,30463.8,30465.5,30459.9,30459.9,9.50000020338848e-06,30462.7
1675820,1675820,2023-07-01 00:33:00,30460.6,30463.6,30457.3,30457.3,1.35000003069763e-05,30460.449999999997
1675821,1675821,2023-07-01 00:34:00,30457.3,30457.3,30449.2,30449.2,2.49999999368811e-06,30453.25
1675822,1675822,2023-07-01 00:35:00,30449.2,30449.2,30427.9,30445.5,7.05000019820545e-05,30438.550000000003
1675823,1675823,2023-07-01 00:36:00,30445.5,30445.5,30429.6,30429.6,4.49999998863859e-06,30437.55
1675824,1675824,2023-07-01 00:37:00,30432.4,30436.9,30429.9,30433.0,2.85000008375391e-05,30433.4
1675825,1675825,2023-07-01 00:38:00,30433.1,30461.1,30433.1,30461.0,8.50000027412534e-05,30447.1
1675826,1675826,2023-07-01 00:39:00,30461.0,30464.8,30453.6,30458.4,3.95000011508273e-05,30459.199999999997
1675827,1675827,2023-07-01 00:40:00,30458.5,30465.8,30453.1,30464.4,5.45000014540165e-05,30459.449999999997
1675828,1675828,2023-07-01 00:41:00,30457.7,30460.8,30448.8,30460.8,3.70000011571392e-05,30454.8
1675829,1675829,2023-07-01 00:42:00,30459.8,30473.6,30459.8,30460.9,5.20000014603283e-05,30466.699999999997
1675830,1675830,2023-07-01 00:44:00,30460.9,30460.9,30447.4,30452.2,1.00000002021261e-05,30454.15
1675831,1675831,2023-07-01 00:45:00,30452.2,30452.2,30415.3,30415.3,2.25000001705666e-05,30433.75
1675832,1675832,2023-07-01 00:46:00,30415.3,30417.3,30401.3,30410.4,6.85000018734172e-05,30409.3
1675833,1675833,2023-07-01 00:47:00,30410.4,30413.0,30403.2,30403.2,2.50000006190021e-05,30408.1
1675834,1675834,2023-07-01 00:48:00,30403.4,30415.0,30402.5,30411.1,5.80000016725535e-05,30408.75
1675835,1675835,2023-07-01 00:49:00,30411.1,30428.3,30408.5,30425.1,4.75000013580029e-05,30418.4
1675836,1675836,2023-07-01 00:50:00,30417.3,30418.3,30410.8,30418.3,1.70000004118265e-05,30414.55
1675837,1675837,2023-07-01 00:52:00,30418.3,30418.3,30407.9,30416.2,1.85000005217262e-05,30413.1
1675838,1675838,2023-07-01 00:53:00,30416.3,30425.3,30404.5,30412.5,7.20000020919542e-05,30414.9
1675839,1675839,2023-07-01 00:54:00,30415.6,30424.5,30415.6,30420.0,2.40000007352137e-05,30420.05
