Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Exit Type
2023-12-16 19:08:00,42366.3,2023-12-16 19:16:00,42396.9,544.53,536.81,4.05,4.06,-7.72,-1.42,Signal Exit
2023-12-16 19:26:00,42358.1,2023-12-16 19:29:00,42386.9,536.81,529.18,4.0,4.0,-7.63,-1.42,Signal Exit
2023-12-16 19:32:00,42342.2,2023-12-18 10:37:00,40512.5,529.18,498.77,3.94,3.77,-30.41,-5.75,Stop-Loss
2023-12-18 10:38:00,40546.3,2023-12-18 21:46:00,42566.2,498.77,515.82,3.71,3.9,17.05,3.42,Signal Exit
2023-12-18 22:04:00,42442.0,2023-12-18 22:11:00,42622.8,515.82,510.31,3.84,3.86,-5.52,-1.07,Signal Exit
2023-12-18 22:27:00,42503.8,2023-12-18 23:00:00,42546.3,510.31,503.21,3.8,3.8,-7.09,-1.39,Signal Exit
2023-12-19 17:15:00,41918.7,2023-12-19 17:37:00,42019.7,503.21,496.92,3.75,3.76,-6.3,-1.25,Signal Exit
2023-12-19 17:41:00,41948.8,2023-12-19 17:46:00,42038.6,496.92,490.57,3.7,3.71,-6.35,-1.28,Signal Exit
2023-12-19 17:51:00,41907.1,2023-12-19 18:15:00,42025.7,490.57,484.63,3.65,3.66,-5.94,-1.21,Signal Exit
2023-12-19 20:52:00,42176.1,2023-12-19 20:57:00,42214.1,484.63,477.85,3.61,3.61,-6.79,-1.4,Signal Exit
