Entry Time,Entry Price,Exit Time,Exit Price,PnL ($),Return (%),Duration,Exit Type
2023-02-18 07:12:00,24525.3,2023-02-24 16:01:00,23176.9,-691.02,-6.91,9024,Stop-Loss
2023-03-14 15:57:00,25941.5,2023-03-14 19:14:00,24612.9,-1299.77,-13.0,197,Stop-Loss
2023-03-14 19:15:00,24433.5,2023-03-18 16:39:00,26899.0,-564.99,-5.65,5599,Trailing TP
2023-03-18 16:40:00,27020.8,2023-04-02 11:16:00,28334.0,-254.3,-2.54,20617,Combined Exit
2023-04-12 13:27:00,30156.2,2023-04-19 23:25:00,28642.3,-881.88,-8.82,9653,Stop-Loss
2023-05-28 21:14:00,27534.4,2023-06-05 15:57:00,26125.7,-1477.66,-14.78,9665,Stop-Loss
2023-06-18 05:24:00,26580.5,2023-06-22 14:41:00,29682.5,-625.31,-6.25,6130,Trailing TP
2023-06-22 14:42:00,29700.0,2023-08-17 15:36:00,28135.6,-1251.82,-12.52,70259,Stop-Loss
2023-09-14 13:30:00,26671.3,2023-10-23 22:47:00,33090.4,691.45,6.91,56293,Trailing TP
2023-10-23 22:48:00,33330.9,2023-11-09 16:10:00,36725.7,1604.35,16.04,23510,Trailing TP
2023-11-10 04:53:00,36722.6,2023-12-07 09:26:00,43023.7,3392.33,33.92,37548,Trailing TP
2023-12-07 09:27:00,42863.9,2023-12-11 18:28:00,40657.0,2512.98,25.13,5742,Stop-Loss
